date,hour,price_eur_mwh
2024-10-01,1,104.0
2024-10-01,2,97.68
2024-10-01,3,97.68
2024-10-01,4,94.86
2024-10-01,5,84.01
2024-10-01,6,80.35
2024-10-01,7,88.13
2024-10-01,8,117.04
2024-10-01,9,123.81
2024-10-01,10,100.0
2024-10-01,11,99.54
2024-10-01,12,79.49
2024-10-01,13,58.48
2024-10-01,14,57.73
2024-10-01,15,56.28
2024-10-01,16,57.98
2024-10-01,17,57.73
2024-10-01,18,76.14
2024-10-01,19,103.57
2024-10-01,20,143.44
2024-10-01,21,173.81
2024-10-01,22,165.98
2024-10-01,23,125.45
2024-10-01,24,110.6
2024-10-02,1,98.02
2024-10-02,2,99.0
2024-10-02,3,98.02
2024-10-02,4,88.66
2024-10-02,5,86.43
2024-10-02,6,81.59
2024-10-02,7,101.6
2024-10-02,8,119.48
2024-10-02,9,124.24
2024-10-02,10,109.25
2024-10-02,11,90.22
2024-10-02,12,88.66
2024-10-02,13,87.26
2024-10-02,14,78.38
2024-10-02,15,65.0
2024-10-02,16,65.0
2024-10-02,17,71.5
2024-10-02,18,79.44
2024-10-02,19,101.84
2024-10-02,20,116.86
2024-10-02,21,117.25
2024-10-02,22,100.0
2024-10-02,23,93.55
2024-10-02,24,85.0
2024-10-03,1,59.36
2024-10-03,2,40.0
2024-10-03,3,40.0
2024-10-03,4,17.8
2024-10-03,5,8.0
2024-10-03,6,32.57
2024-10-03,7,57.17
2024-10-03,8,77.63
2024-10-03,9,86.74
2024-10-03,10,74.61
2024-10-03,11,68.8
2024-10-03,12,68.38
2024-10-03,13,74.61
2024-10-03,14,55.08
2024-10-03,15,51.2
2024-10-03,16,54.4
2024-10-03,17,52.74
2024-10-03,18,71.63
2024-10-03,19,74.61
2024-10-03,20,109.52
2024-10-03,21,125.0
2024-10-03,22,126.98
2024-10-03,23,99.99
2024-10-03,24,91.88
2024-10-04,1,99.0
2024-10-04,2,100.2
2024-10-04,3,98.02
2024-10-04,4,94.8
2024-10-04,5,102.68
2024-10-04,6,99.54
2024-10-04,7,103.0
2024-10-04,8,127.79
2024-10-04,9,141.37
2024-10-04,10,116.57
2024-10-04,11,100.11
2024-10-04,12,76.39
2024-10-04,13,60.2
2024-10-04,14,59.3
2024-10-04,15,50.0
2024-10-04,16,49.1
2024-10-04,17,57.88
2024-10-04,18,77.42
2024-10-04,19,100.2
2024-10-04,20,137.24
2024-10-04,21,146.03
2024-10-04,22,146.41
2024-10-04,23,117.17
2024-10-04,24,115.0
2024-10-05,1,93.1
2024-10-05,2,85.98
2024-10-05,3,85.5
2024-10-05,4,85.5
2024-10-05,5,82.47
2024-10-05,6,79.82
2024-10-05,7,86.2
2024-10-05,8,100.4
2024-10-05,9,109.38
2024-10-05,10,89.02
2024-10-05,11,57.0
2024-10-05,12,39.99
2024-10-05,13,2.0
2024-10-05,14,0.01
2024-10-05,15,0.0
2024-10-05,16,0.0
2024-10-05,17,0.0
2024-10-05,18,0.44
2024-10-05,19,45.0
2024-10-05,20,85.23
2024-10-05,21,95.18
2024-10-05,22,82.47
2024-10-05,23,77.8
2024-10-05,24,67.0
2024-10-06,1,47.4
2024-10-06,2,30.83
2024-10-06,3,25.0
2024-10-06,4,10.39
2024-10-06,5,5.0
2024-10-06,6,4.69
2024-10-06,7,10.39
2024-10-06,8,10.39
2024-10-06,9,10.39
2024-10-06,10,10.39
2024-10-06,11,3.32
2024-10-06,12,0.01
2024-10-06,13,0.0
2024-10-06,14,-0.01
2024-10-06,15,-0.01
2024-10-06,16,-0.01
2024-10-06,17,0.0
2024-10-06,18,0.44
2024-10-06,19,17.76
2024-10-06,20,59.03
2024-10-06,21,78.05
2024-10-06,22,85.23
2024-10-06,23,63.5
2024-10-06,24,54.9
2024-10-07,1,65.08
2024-10-07,2,46.34
2024-10-07,3,40.0
2024-10-07,4,30.1
2024-10-07,5,29.97
2024-10-07,6,30.1
2024-10-07,7,52.02
2024-10-07,8,84.5
2024-10-07,9,108.32
2024-10-07,10,91.75
2024-10-07,11,65.98
2024-10-07,12,56.01
2024-10-07,13,44.71
2024-10-07,14,30.1
2024-10-07,15,27.08
2024-10-07,16,26.83
2024-10-07,17,30.25
2024-10-07,18,50.24
2024-10-07,19,68.0
2024-10-07,20,73.61
2024-10-07,21,85.01
2024-10-07,22,67.73
2024-10-07,23,65.8
2024-10-07,24,61.39
2024-10-08,1,33.1
2024-10-08,2,24.35
2024-10-08,3,19.57
2024-10-08,4,7.0
2024-10-08,5,4.9
2024-10-08,6,21.54
2024-10-08,7,39.58
2024-10-08,8,52.98
2024-10-08,9,77.71
2024-10-08,10,48.38
2024-10-08,11,30.1
2024-10-08,12,3.32
2024-10-08,13,3.32
2024-10-08,14,0.97
2024-10-08,15,0.01
2024-10-08,16,0.0
2024-10-08,17,0.51
2024-10-08,18,5.0
2024-10-08,19,48.38
2024-10-08,20,79.9
2024-10-08,21,90.0
2024-10-08,22,83.19
2024-10-08,23,46.08
2024-10-08,24,33.1
2024-10-09,1,19.86
2024-10-09,2,3.6
2024-10-09,3,2.0
2024-10-09,4,0.98
2024-10-09,5,0.98
2024-10-09,6,2.0
2024-10-09,7,16.98
2024-10-09,8,40.0
2024-10-09,9,52.8
2024-10-09,10,47.59
2024-10-09,11,35.06
2024-10-09,12,30.3
2024-10-09,13,26.5
2024-10-09,14,20.33
2024-10-09,15,6.0
2024-10-09,16,3.32
2024-10-09,17,3.32
2024-10-09,18,8.75
2024-10-09,19,30.3
2024-10-09,20,40.0
2024-10-09,21,60.8
2024-10-09,22,49.08
2024-10-09,23,46.69
2024-10-09,24,41.13
2024-10-10,1,40.08
2024-10-10,2,40.0
2024-10-10,3,40.0
2024-10-10,4,40.0
2024-10-10,5,44.0
2024-10-10,6,55.01
2024-10-10,7,69.0
2024-10-10,8,91.48
2024-10-10,9,108.8
2024-10-10,10,92.0
2024-10-10,11,69.0
2024-10-10,12,40.29
2024-10-10,13,39.83
2024-10-10,14,40.08
2024-10-10,15,39.83
2024-10-10,16,40.5
2024-10-10,17,55.26
2024-10-10,18,71.78
2024-10-10,19,100.0
2024-10-10,20,129.22
2024-10-10,21,180.0
2024-10-10,22,173.4
2024-10-10,23,120.0
2024-10-10,24,108.8
2024-10-11,1,111.03
2024-10-11,2,99.0
2024-10-11,3,92.0
2024-10-11,4,88.71
2024-10-11,5,84.72
2024-10-11,6,81.37
2024-10-11,7,99.95
2024-10-11,8,106.0
2024-10-11,9,111.04
2024-10-11,10,110.01
2024-10-11,11,90.0
2024-10-11,12,79.9
2024-10-11,13,70.1
2024-10-11,14,58.11
2024-10-11,15,61.95
2024-10-11,16,66.95
2024-10-11,17,70.0
2024-10-11,18,71.35
2024-10-11,19,82.44
2024-10-11,20,100.8
2024-10-11,21,109.01
2024-10-11,22,90.69
2024-10-11,23,81.37
2024-10-11,24,80.57
2024-10-12,1,67.29
2024-10-12,2,57.57
2024-10-12,3,47.96
2024-10-12,4,38.91
2024-10-12,5,38.91
2024-10-12,6,42.63
2024-10-12,7,60.21
2024-10-12,8,61.0
2024-10-12,9,62.97
2024-10-12,10,67.08
2024-10-12,11,69.31
2024-10-12,12,72.5
2024-10-12,13,70.0
2024-10-12,14,69.31
2024-10-12,15,66.83
2024-10-12,16,53.0
2024-10-12,17,53.0
